0	0	0	9
0	17
83	14	6	80
97	30	21	64
122	32	40	32
169	52	60	52
236	48	64	60
308	46	64	64
381	46	64	64
454	52	54	52
80	131	41	41
129	127	34	41
172	125	34	43
217	123	32	45
258	114	21	54
288	113	20	55
316	121	68	47
400	125	39	43
460	123	37	45
1	5
189	174	35	46
231	175	35	45
274	176	35	44
317	176	35	44
359	176	35	44
2	10
98	230	25	48
131	229	23	51
163	231	23	53
203	229	23	57
203	229	23	57
203	229	23	57
236	232	27	53
272	233	34	50
312	232	32	52
353	231	29	54
3	14
191	427	32	46
230	428	40	44
275	429	48	43
329	430	48	43
384	429	39	44
433	428	30	45
119	483	27	46
155	483	35	45
196	484	40	45
240	485	42	44
291	486	42	44
340	485	38	45
388	484	32	46
427	483	27	47
4	8
94	541	36	42
136	548	46	36
188	553	53	31
246	553	57	31
246	553	57	31
246	553	57	31
386	541	45	43
437	541	34	43
5	2
147	1040	34	55
189	1038	32	58
6	10
100	1256	32	48
139	1249	34	55
181	1256	34	48
222	1256	35	52
262	1257	33	46
302	1258	33	45
343	1259	33	44
383	1257	33	46
422	1258	33	45
460	1259	33	44
7	5
171	1324	31	39
213	1319	36	48
259	1320	36	48
302	1314	44	56
366	1310	36	59
8	9
94	1406	35	42
135	1409	33	39
175	1404	34	44
217	1395	38	54
263	1408	35	42
302	1406	46	48
358	1379	58	77
424	1376	57	74
489	1383	6	64
