140
-1	6	716	256	16
-1	6	602	89	115
-1	180	460	16	257
-1	6	325	18	97
-1	6	421	3	54
-1	6	474	18	129
-1	6	310	231	16
-1	71	492	106	11
-1	104	476	73	17
-1	136	460	41	17
-1	168	444	606	17
-1	236	263	29	130
-1	262	264	244	13
-1	515	167	27	226
-1	541	365	39	28
-1	579	381	49	12
-1	677	264	16	181
-1	584	268	90	11
-1	621	237	410	32
-1	518	91	57	77
-1	518	8	18	84
-1	539	8	210	14
-1	748	8	29	126
-1	697	74	52	13
-1	685	189	471	10
-1	685	198	16	39
-1	1030	198	18	262
-1	1051	198	39	32
-1	1089	198	34	16
-1	776	8	253	13
-1	1027	8	259	126
-1	1220	133	66	134
-1	1180	267	106	17
-1	1149	282	146	18
-1	1115	299	180	106
-1	1030	459	634	10
-1	1298	265	235	26
-1	1532	265	266	140
-1	1723	404	54	146
-1	1611	526	113	22
-1	1611	547	55	18
-1	1543	468	27	177
-1	1569	621	97	33
-1	1665	637	97	30
-1	1761	652	129	78
-1	1889	716	888	14
-1	1776	520	804	14
-1	2286	533	32	127
-1	2157	588	130	10
-1	2557	264	83	395
-1	2639	558	49	101
-1	2748	467	71	250
-1	2700	414	117	54
-1	2816	461	1130	25
-1	2989	411	50	51
-1	3181	443	83	19
-1	3212	411	52	33
-1	3468	428	133	34
-1	2639	264	1318	15
-1	3565	278	29	96
-1	2875	331	26	28
-1	2900	347	402	12
-1	3945	429	426	41
-1	3956	264	411	108
-1	4370	445	244	25
-1	4605	264	12	182
-1	4369	264	237	14
-2	0	260	6	519
-2	5	256	514	9
-2	5	776	257	9
-2	262	520	10	265
-2	271	520	503	8
-2	774	264	10	257
-2	783	264	248	9
-2	1022	272	9	249
-2	1031	520	511	10
-2	1532	529	10	247
-2	1542	776	1280	10
-2	2822	520	10	257
-2	2831	520	1783	9
-2	4613	264	7	256
-2	510	9	10	256
-2	518	0	768	9
-2	1286	9	9	255
-2	1294	256	504	9
-2	1798	265	9	255
-2	1806	511	761	10
-2	2557	264	10	248
-2	2567	256	2047	9
-3	2901	334	401	13
3	11	530	41	31
73	150	536	41	31
80	485	359	41	31
87	645	295	41	31
10	560	135	41	31
94	998	91	41	31
17	1285	371	41	31
101	1505	371	41	31
108	2257	630	41	31
115	2529	625	41	31
122	3536	343	41	31
2	424	336	42	32
9	945	87	42	32
16	1454	348	42	32
23	2062	606	42	32
30	2166	606	42	32
37	3397	326	42	32
44	3814	350	42	32
51	3874	350	42	32
1	333	401	42	40
8	453	401	42	40
15	633	193	42	40
22	815	145	42	40
29	957	145	42	40
36	1171	416	42	40
43	1387	416	42	40
50	1743	593	42	40
57	2161	673	42	40
64	2477	673	42	40
71	2900	416	42	40
78	3120	417	42	40
85	3397	416	42	40
92	3696	416	42	40
99	3872	416	42	40
5	704	60	16	12
12	1187	250	16	12
19	1863	638	16	12
26	2875	316	16	12
33	3921	446	16	12
4	4490	347	60	74
6	4004	377	16	48
13	4344	377	16	48
-1	4061	591	4	231
-1	4064	763	245	60
-1	4302	591	4	173
-1	4064	591	239	4
-1	4346	591	7	232
-1	4352	767	239	56
-1	4584	591	7	178
-1	4352	591	233	9
